customer_id	usage_date	features_used	minutes_spent	errors_reported
34	2024/03/31	Upload	59.9	1
97	2024/04/25	Reports	40.85	0
190	2024/05/16	Export	53.37	1
131	2023/12/03	Dashboard	75.32	2
55	2023/11/22	Alerts	31.1	0
40	2023/07/10	Reports	31.03	0
198	2024/03/03	Upload	6.75	error
87	2024/06/27	Export	28.13	1
42	2023/09/01	Upload	17.76	0
43	2024/06/04	Alerts###	2.63	1
185	2023/09/30	Alerts	121.78	0
115	2023/09/28	Export	56.83	1
121	2023/09/08	Reports	26.98	1
113	2024/01/23	Reports	36.25	0
108	2023/08/22	API	28.99	1
65	2023/06/27	Upload	44.83	1
27	2024/05/30	Export	128.35	0
196	2023/08/22	Reports	80.81	4
112	2023/07/17	API	14.73	0
7	2023/12/30	Dashboard	2.5	1
99	2023/07/12	Reports	55.31	0
26	2024/05/31	Upload	7.89	1
10	2023/10/25	Alerts	62.46	1
181	2024/01/27	Alerts	71.63	0
5	2023/10/10	API	19.82	1
187	2024/04/07	Export	35.72	0
61	2023/11/02	Dashboard###	39.67	0
160	2024/01/21	Dashboard	32.69	1
153	2024/03/01	Dashboard	42.84	0
184	2023/08/13	Reports	75.11	1
62	2024/03/19	Alerts	89.86	0
135	2023/12/02	Dashboard	55.15	0
130	2024/03/10	Dashboard	33.04	0
163	2023/12/16	Reports	43.17	error
18	2023/11/24	API	47.61	0
198	2024/03/24	Upload	36.03	0
91	2024/03/06	Reports	38.41	0
200	2024/05/16	Alerts	55.71	1
47	2023/08/09	Dashboard	38.64	0
10	2023/10/29	API###	32.19	2
11	2023/11/09	Reports	52.71	0
140	2024/01/29	Reports###	54.44	1
74	2023/11/30	Dashboard	23.94	0
32	2023/12/06	Alerts	35.17	0
99	2023/11/21	API	53.88	0
133	2023/10/15	Dashboard	52.83	error
155	2023/09/01	Export	34.66	0
84	2024/05/04	Reports	55.37	0
110	2023/08/25	Upload	58.59	0
187	2023/11/28	Export	40.02	0
15	2023/07/09	Upload	16.71	2
192	2024/05/13	API	87.12	0
156	2024/05/13	Alerts###	12.82	error
200	2024/04/26	Reports	15.22	0
9	2024/04/05	API	46.81	0
96	2024/01/14	Dashboard	118.9	0
102	2023/11/08	Upload	39.23	0
7	2024/06/11	API	54.05	0
144	2023/07/31	Reports	79.28	0
55	2024/04/09	Reports	67.56	1
52	2023/08/02	API	87.16	0
183	2024/01/14	Dashboard	86.77	0
82	2024/05/07	Reports	30.2	0
75	2023/11/01	API	72.69	0
164	2023/08/29	Reports	96.2	0
52	2023/08/11	API	71.21	error
142	2024/03/20	Reports	1.52	1
34	2024/04/09	Dashboard	47.06	1
184	2024/06/03	Alerts	21.5	2
148	2023/07/08	API	35.34	1
116	2024/01/25	Upload	85.92	0
200	2024/03/09	Upload	121.17	0
34	2024/01/08	Export	1.8	error
32	2024/02/21	API	80.72	0
182	2023/09/24	Reports	60.66	2
73	2023/07/11	Reports	53.91	0
71	2023/08/04	Upload	53.79	0
129	2024/04/24	API	23.57	0
44	2024/05/03	Export	100.97	1
145	2023/06/22	Dashboard	59.21	1
198	2024/03/22	Reports	79.76	1
107	2024/04/12	Upload###	20.38	1
140	2023/10/27	Upload	37.64	0
176	2023/12/25	Reports	22.39	0
41	2024/01/12	Alerts	42.69	1
156	2023/08/13	Reports	55.23	1
89	2023/12/22	API	37.06	0
28	2023/11/11	API	126.61	1
64	2023/08/12	Dashboard	46.26	0
158	2024/01/01	API	40.88	3
84	2024/03/22	Upload	59.2	2
128	2024/02/19	Alerts	42.82	0
6	2023/07/17	Alerts	31.6	0
56	2024/03/25	Reports###	70.69	0
153	2024/04/30	Upload	50.2	0
28	2024/01/07	API	56.56	0
196	2023/12/24	Reports###	46.75	error
144	2023/09/08	Reports	10.71	error
130	2024/01/17	Export	55.73	1
175	2024/04/08	Dashboard	61.82	error
96	2023/11/21	Export	3.67	2
51	2024/04/04	Export	16.87	error
10	2023/08/10	Upload	45.72	0
117	2023/08/16	Export	71.16	1
157	2023/11/11	API	73.62	1
77	2024/03/30	Reports	64.54	0
126	2024/05/28	Export	49.95	0
95	2023/11/17	Upload	19.32	0
79	2024/06/06	Upload	8.65	0
68	2024/05/01	Export	55.72	0
150	2024/02/01	API	18.21	0
199	2023/12/12	API	34.96	1
147	2024/05/24	Dashboard	23.09	0
108	2023/08/17	Alerts	51.49	0
199	2024/04/09	Alerts	109.32	2
16	2024/05/27	API	64.02	0
170	2024/01/31	Export	25.15	0
118	2024/02/28	Reports	70.57	0
185	2024/05/14	Upload	60.15	0
124	2023/09/07	API	70.97	0
77	2024/06/29	Reports	30.75	0
126	2023/11/10	Alerts	25.4	1
185	2023/10/19	Reports	56.32	1
98	2023/12/20	Reports	94.54	0
75	2023/06/22	Reports	83.01	error
114	2024/05/01	Reports	23.77	0
138	2023/10/17	Export	37.88	0
158	2024/06/14	Export	101.16	error
136	2023/09/24	Upload	52.24	0
85	2024/06/02	Alerts	14.27	0
2	2024/03/08	API	93.97	1
122	2024/01/31	Upload	2.1	0
83	2023/10/25	Upload	46.76	1
167	2024/03/20	API	115.44	0
10	2023/08/29	Alerts	50.97	0
10	2023/12/21	Alerts	26.99	0
75	2023/06/20	Dashboard	48.41	0
86	2023/10/24	Alerts	64.86	1
127	2023/08/08	Export	65.61	0
29	2023/11/17	API	47.13	2
184	2023/09/04	Dashboard	30.41	0
146	2024/05/11	API	51.23	1
104	2024/01/05	Export	27.32	0
25	2023/09/03	API	70.49	1
2	2023/10/12	Alerts	55.86	1
85	2023/11/02	Export	62.44	error
168	2023/12/02	Upload	61.55	2
120	2023/11/05	API	23.7	0
181	2024/06/29	Reports	24.92	2
76	2023/12/06	Export	79.86	1
123	2023/08/18	Alerts	84.16	0
107	2024/05/25	Export	45.63	1
171	2023/09/20	API	36.87	2
21	2024/02/25	Alerts	26.61	1
145	2023/07/28	Dashboard	14.82	1
52	2024/03/20	Export	8.57	2
134	2024/01/13	Dashboard	24.03	0
126	2023/07/17	Export	44.74	error
34	2024/02/18	Alerts	74.25	error
